model,df,logLik,AIC,BIC,dAIC,aic_w,evidence_ratio
M5_none,4,-2107.55376593609,4223.10753187217,4252.94039411021,0,0.731034001426831,1
M3,5,-2107.55364093608,4225.10728187216,4262.3983596697,1.99974999998267,0.268965998573169,2.71794206444263
M5_z,4,-2270.56943414665,4549.13886829331,4578.97173053135,326.031336421136,1.16716541293145e-71,6.26332817377417e+70
M5_log,4,-2428.19188616407,4864.38377232813,4894.21663456617,641.276240455961,4.09799358513934e-140,1.783882737342e+139
M5_sqrt,4,-7437.91296913215,14883.8259382643,14913.6588005023,10660.7184063921,0,Inf
